Timestamp;Quaternion I;Quaternion J;Quaternion K;Quaternion Real
2024-03-02 18:05:29;-0.0191650390625;-0.04632568359375;0.0;0.99871826171875
2024-03-02 18:05:31;-0.0191650390625;-0.046142578125;-6.103515625E-5;0.998779296875
2024-03-02 18:05:33;-0.0191650390625;-0.0462646484375;-6.103515625E-5;0.99871826171875
2024-03-02 18:05:34;-0.01910400390625;-0.04620361328125;0.0;0.99871826171875
2024-03-02 18:05:37;-0.01910400390625;-0.0462646484375;1.220703125E-4;0.99871826171875
2024-03-02 18:05:38;-0.01885986328125;-0.04608154296875;6.103515625E-5;0.998779296875
2024-03-02 18:05:40;-0.01904296875;-0.04638671875;0.0;0.99871826171875
2024-03-02 18:05:42;0.0528564453125;-0.20074462890625;0.0126953125;0.9781494140625
2024-03-02 18:05:42;-0.04144287109375;-0.32666015625;0.066162109375;0.94189453125
2024-03-02 18:05:43;-0.32830810546875;-0.26007080078125;0.141845703125;0.89691162109375
2024-03-02 18:05:45;0.09881591796875;-0.4703369140625;0.1820068359375;0.85784912109375
2024-03-02 18:05:47;0.29229736328125;-0.34375;0.17486572265625;0.8751220703125
2024-03-02 18:05:47;0.280517578125;-0.2833251953125;0.1849365234375;0.89825439453125
2024-03-02 18:05:48;0.331787109375;-0.40081787109375;0.1322021484375;0.84368896484375
2024-03-02 18:05:49;0.19207763671875;-0.30517578125;0.209716796875;0.9088134765625
2024-03-02 18:05:50;0.16876220703125;-0.33709716796875;0.19769287109375;0.9049072265625
2024-03-02 18:05:50;0.16973876953125;-0.3065185546875;0.19708251953125;0.9156494140625
2024-03-02 18:05:52;0.370361328125;-0.27044677734375;0.06707763671875;0.8861083984375
2024-03-02 18:05:53;0.28643798828125;-0.3822021484375;0.0982666015625;0.873046875
2024-03-02 18:05:55;0.34466552734375;-0.25091552734375;0.08404541015625;0.900634765625
2024-03-02 18:05:58;0.15301513671875;-0.0419921875;-0.0252685546875;0.98699951171875
2024-03-02 18:05:58;0.04046630859375;-0.031982421875;-0.09417724609375;0.99420166015625
2024-03-02 18:05:59;0.03143310546875;0.01483154296875;-0.12078857421875;0.9920654296875
2024-03-02 18:06:01;0.02447509765625;0.01470947265625;-0.12774658203125;0.99139404296875
2024-03-02 18:06:01;0.02154541015625;0.01458740234375;-0.1322021484375;0.99090576171875
2024-03-02 18:06:03;0.0198974609375;0.0146484375;-0.13482666015625;0.99053955078125
2024-03-02 18:06:04;0.019775390625;0.01446533203125;-0.13482666015625;0.99053955078125
2024-03-02 18:06:11;0.01275634765625;0.01605224609375;-0.1361083984375;0.990478515625
2024-03-02 18:06:11;0.01373291015625;0.015625;-0.13665771484375;0.99041748046875
2024-03-02 18:06:17;0.013916015625;0.01495361328125;-0.13885498046875;0.9901123046875
2024-03-02 18:06:19;0.0118408203125;0.0159912109375;-0.13922119140625;0.99005126953125
2024-03-02 18:06:19;0.011962890625;0.01580810546875;-0.13934326171875;0.99005126953125
2024-03-02 18:06:23;0.01190185546875;0.01568603515625;-0.1392822265625;0.99005126953125
2024-03-02 18:06:26;0.01190185546875;0.01556396484375;-0.139404296875;0.99005126953125
2024-03-02 18:06:29;0.01220703125;0.0155029296875;-0.1395263671875;0.99005126953125
2024-03-02 18:06:29;0.01226806640625;0.01556396484375;-0.1395263671875;0.989990234375
2024-03-02 18:06:29;0.01220703125;0.015625;-0.13958740234375;0.989990234375
2024-03-02 18:06:30;0.0123291015625;0.01580810546875;-0.13958740234375;0.989990234375
2024-03-02 18:06:33;0.0120849609375;0.015869140625;-0.1396484375;0.989990234375
2024-03-02 18:06:33;0.01202392578125;0.0157470703125;-0.1396484375;0.989990234375
2024-03-02 18:06:35;0.01214599609375;0.01568603515625;-0.1396484375;0.989990234375
2024-03-02 18:06:35;0.011962890625;0.01568603515625;-0.1407470703125;0.9898681640625
2024-03-02 18:06:39;0.01214599609375;0.0157470703125;-0.1424560546875;0.9896240234375
2024-03-02 18:06:41;0.01226806640625;0.0157470703125;-0.14251708984375;0.98956298828125
2024-03-02 18:06:47;0.01239013671875;0.0157470703125;-0.142578125;0.98956298828125
2024-03-02 18:06:47;0.01239013671875;0.0157470703125;-0.142578125;0.98956298828125
2024-03-02 18:06:50;0.14599609375;-0.13232421875;-0.1446533203125;0.96966552734375
2024-03-02 18:06:50;-0.01641845703125;-0.10870361328125;-0.19097900390625;0.97540283203125
2024-03-02 18:06:53;0.064453125;-0.0167236328125;-0.19732666015625;0.97808837890625
2024-03-02 18:06:53;0.02093505859375;0.0078125;-0.1661376953125;0.98583984375
2024-03-02 18:06:55;4.2724609375E-4;0.0216064453125;-0.159423828125;0.9869384765625
2024-03-02 18:06:56;7.9345703125E-4;0.01739501953125;-0.17279052734375;0.98480224609375
2024-03-02 18:06:58;-0.0010986328125;0.01654052734375;-0.17919921875;0.983642578125
2024-03-02 18:06:58;0.00689697265625;0.0152587890625;-0.1864013671875;0.98236083984375
2024-03-02 18:07:07;0.026611328125;0.01629638671875;-0.13482666015625;0.9903564453125
2024-03-02 18:07:09;0.02362060546875;0.01495361328125;-0.1439208984375;0.98919677734375
2024-03-02 18:07:09;0.0225830078125;0.0147705078125;-0.14520263671875;0.989013671875
2024-03-02 18:07:10;0.0220947265625;0.01495361328125;-0.146240234375;0.9888916015625
2024-03-02 18:07:12;0.02130126953125;0.0150146484375;-0.14727783203125;0.98876953125
2024-03-02 18:07:13;0.02130126953125;0.01495361328125;-0.14752197265625;0.98870849609375
